iso3,emb_0,emb_1,emb_2
1A,0.17442404750580703,-0.2858070728278268,0.034586659919107345
1W,-0.012360751355098338,-0.3291296976583182,-0.08738153257654016
4E,-0.14815447978591714,-0.3477232451305567,-0.4590962525611378
7E,-0.6906414536164527,-0.4077949718151115,-0.39125568890831697
8S,1.121287630206659,-0.08548445506619502,-0.9403005154606608
AD,-2.1555257159673413,-0.09904513613802526,1.090774663308155
AE,-2.354902171426639,-0.08640248241554231,1.196469004030822
AF,2.3810747391979885,-0.013856766475558854,-0.7914272665842951
AG,-0.6006505690849169,-0.6964834666562194,-1.2967339762519021
AL,0.13865420064833756,-0.2340584075762279,-0.686938260779528
AM,-0.05853263373037684,-0.2484698236799131,-0.4089131197268232
AO,1.7206477884523295,0.3910742621444317,1.0830695571227984
AR,-1.5875486700545218,-0.3612914613249284,0.04927335589849546
AT,-1.840180557281823,-0.22962264783658065,0.6701244223678339
AU,-2.8173985987261188,-0.4193974099521898,0.2435525614704692
AW,-1.9404870756689547,-0.3734939628599358,-0.6850273936948309
AZ,-0.4975392509623376,-0.43848304588837494,-0.5217920238546027
B8,-1.1573350179205457,-0.41108123943212305,-0.11407471239728113
BA,-0.12647472155320477,-0.48699647351499753,-0.6169932278041579
BB,-0.9944673754936783,-0.30150115790447385,-0.7739508375696046
BD,1.249684312109097,0.3175017345446226,-0.8896463545280494
BE,-3.1381222893674545,-0.3056912873923615,0.0654765545644973
BF,3.6969203787223397,0.6226427287593443,0.9450533441757828
BG,-1.165612655030772,-0.4028041356551779,-0.0997671661640028
BH,-2.4982626339887823,0.7477134262954354,0.7413469722998279
BI,4.576609341364472,1.120074056443744,0.7335152837973851
BJ,3.0104607184938397,0.6482718338563855,0.7588834110386771
BM,-2.888967467787257,0.7396574910119493,2.0956597306627915
BN,-2.046422679354689,-0.037789436434513116,1.3981251979326803
BO,-0.24086786088802334,-0.35917849445035305,-0.333870309853711
BR,-1.2256701791874454,-0.42349276641616135,-0.1691436370670391
BS,-1.2063406657161162,-0.32168754140782896,0.4486757362195577
